regionname,city,incr_per,date,incr_type,year,month_date_yyyymm,postal_code,zip_name,active_listing_count_yy,median_days_on_market_yy,new_listing_count_yy,pending_ratio_yy,year-2
94558,Napa,0.008095129,201908,Stable_Incr,2019,201907,94558,"napa, ca",0.1989,0.5385,-0.28,0.0095,2019
94533,Fairfield,0.018452154,201908,Stable_Incr,2019,201907,94533,"fairfield, ca",0.1681,-0.1143,0.2222,0.045,2019
94536,Fremont,-0.054247835,201908,Moderate_Decr,2019,201907,94536,"fremont, ca",0.6351,1.0323,-0.3077,-0.4545,2019
95035,Milpitas,-0.110002945,201908,Huge_Decr,2019,201907,95035,"milpitas, ca",0.3974,0.4783,-0.1053,-0.279,2019
94544,Hayward,-0.025568839,201908,Small_Decr,2019,201907,94544,"hayward, ca",0.8636,0.28,0.2143,-0.7034,2019
94568,Dublin,-0.038253989,201908,Small_Decr,2019,201907,94568,"dublin, ca",0.2885,0.381,-0.1852,-0.4885,2019
94509,Antioch,0.009950749,201908,Stable_Incr,2019,201907,94509,"antioch, ca",0.4286,0.6585,-0.1905,-0.7143,2019
94122,San Francisco,-0.018572949,201908,Small_Decr,2019,201907,94122,"san francisco, ca",-0.2083,0.7778,-0.6667,-0.1491,2019
94541,Hayward,-0.021902559,201908,Small_Decr,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94538,Fremont,-0.081357549,201908,High_Decr,2019,201907,94538,"fremont, ca",0.5147,0.75,0,-0.3448,2019
94513,Brentwood,-0.004382471,201908,Small_Decr,2019,201907,94513,"brentwood, ca",0.4813,0.3125,0.2,-0.2241,2019
94587,Union City,-0.052437415,201908,Moderate_Decr,2019,201907,94587,"union city, ca",0.7143,1.0588,0.0556,-0.5119,2019
94080,South San Francisco,-0.03172864,201908,Small_Decr,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94112,San Francisco,-0.000787422,201908,Small_Decr,2019,201907,94112,"san francisco, ca",0.125,-0.3654,0.4286,-0.2222,2019
94087,Sunnyvale,-0.145554412,201908,Huge_Decr,2019,201907,94087,"sunnyvale, ca",0.0741,0.9737,-0.6364,-0.4636,2019
94086,Sunnyvale,-0.146214783,201908,Huge_Decr,2019,201907,94086,"sunnyvale, ca",0.2174,0.4634,0.1667,-0.4317,2019
94806,San Pablo,0.006596707,201908,Stable_Incr,2019,201907,94806,"san pablo, ca",0.0769,0.7917,0,0.2051,2019
94591,Vallejo,0.013522296,201908,Stable_Incr,2019,201907,94591,"vallejo, ca",0.0674,0.1034,0.0714,0.0565,2019
94553,Martinez,-0.023917422,201908,Small_Decr,2019,201907,94553,"martinez, ca",-0.3,0.4615,-0.3333,0.3571,2019
94015,Daly City,-0.037667857,201908,Small_Decr,2019,201907,94015,"daly city, ca",0,0.2593,1.4,0.1333,2019
94115,San Francisco,0.014542453,201908,Stable_Incr,2019,201907,94115,"san francisco, ca",0,0.1622,0.25,-0.4483,2019
94117,San Francisco,0.016657073,201908,Stable_Incr,2019,201907,94117,"san francisco, ca",-0.1667,-0.3699,-0.25,0.1333,2019
94102,San Francisco,-0.017378856,201908,Small_Decr,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94121,San Francisco,-0.013323702,201908,Small_Decr,2019,201907,94121,"san francisco, ca",-0.0952,0.4222,0,-0.589,2019
94611,Oakland,-0.010046634,201908,Small_Decr,2019,201907,94611,"oakland, ca",0.1111,0.3529,0.1667,0.2333,2019
94550,Livermore,-0.040154923,201908,Small_Decr,2019,201907,94550,"livermore, ca",0.4615,0.2679,0.125,-0.3232,2019
94577,San Leandro,-0.022478232,201908,Small_Decr,2019,201907,94577,"san leandro, ca",-0.1143,0.6,-0.0909,0.3899,2019
